Ticker,Company,Sector,SubIndustry,1Y_Change(%),Volatility(%),AvgAnnualReturn(%),MaxDrawdown(%)
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,41.68794452614259,31.552868263823385,40.34131924318792,32.796898132106975
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,40.87179576710609,29.57410993428261,39.12739253858313,10.72264071778689
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,40.64058461446251,37.455148597447646,41.27439457888712,23.26578946812993
WELL,Welltower,Real Estate,Health Care REITs,39.68246490581425,21.66277811369138,36.321019162393036,12.986105330608948
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,39.56220487159224,38.57448725201051,41.42631355469854,18.363966111221302
FSLR,First Solar,Information Technology,Semiconductors,38.27148714084343,62.646973984350296,52.189272831099885,42.10273263103665
PWR,Quanta Services,Industrials,Construction & Engineering,38.20106371308467,39.36964710494458,40.804885286536134,33.885428409626634
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,38.04392385590219,30.73903568435069,37.48317390230692,30.895732816148097
NFLX,Netflix,Communication Services,Movies & Entertainment,37.7231588862689,32.99868623099055,37.99141185025191,19.15170932458769
VST,Vistra Corp.,Utilities,Electric Utilities,36.79601544103656,67.42676447000483,55.462764217602675,48.80427643634137
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,36.75559942501627,32.8769693185735,37.08988440293504,27.775573512146067
CNP,CenterPoint Energy,Utilities,Multi-Utilities,36.10340721417655,17.41677422953634,32.84996359788767,8.386124855033565
JPM,JPMorgan Chase,Financials,Diversified Banks,35.39841302674931,23.979357422959943,33.69304016677832,24.423927179305554
ETR,Entergy,Utilities,Electric Utilities,35.021116576310575,21.482332612043788,32.837693687172646,10.103541685608542
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,34.847892795837325,48.84788690582716,42.488826755963,41.15434457106088
IVZ,Invesco,Financials,Asset Management & Custody Banks,34.00284329013033,39.806094100008934,37.55257312638179,36.52208129113241
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,33.55774370949484,37.017308257601414,36.33830296363787,26.78509178271081
HCA,HCA Healthcare,Health Care,Health Care Facilities,33.470558361553906,26.633748474629186,32.896272106917664,16.944880855769355
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,33.16475490225779,31.07996512784508,33.889050506526246,30.481330732950155
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,32.44462180652949,37.466701647543196,35.532512221389524,19.516271508847712
ORCL,Oracle Corporation,Information Technology,Application Software,32.11617461947201,59.45864733405851,44.7124316175002,35.78746930881845
PODD,Insulet Corporation,Health Care,Health Care Equipment,32.01077620074832,37.8800109148082,35.08005621261596,17.77030402298711
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,30.797213930445476,30.77819446830236,32.02921607412707,29.238726005577973
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,30.394566909766763,25.698102432901738,30.277015333819907,17.157644822212966
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,30.38300897613095,56.72622994136005,41.52532418980576,24.9873262335751
BA,Boeing,Industrials,Aerospace & Defense,30.14969238349104,37.22329388222915,33.655857670974974,26.66308921455537
EME,Emcor,Industrials,Construction & Engineering,29.87815798513664,44.71277265303899,36.934504879115195,36.1891111662059
GILD,Gilead Sciences,Health Care,Biotechnology,29.802576600749187,27.623043731796848,30.28957274871477,16.880875064658685
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,29.647051172931594,38.38723348776282,33.556404866173416,29.524213432508457
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,29.569013596620902,25.82121908128265,29.67161926810295,23.690523678500682
AXP,American Express,Financials,Consumer Finance,28.88564554234987,31.36751198756317,30.661990639577912,28.757424350339246
AEP,American Electric Power,Utilities,Electric Utilities,28.645566554036023,19.56353373992392,27.50723915562804,9.580533560106993
EVRG,Evergy,Utilities,Electric Utilities,28.072520718935333,16.56587922977242,26.5265939706534,8.012642321908483
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,28.014349658702,34.542373147155466,31.118811408411762,25.18993772153802
INCY,Incyte,Health Care,Biotechnology,27.762936151397437,35.17067104258908,31.08927610829409,33.83305350650663
CME,CME Group,Financials,Financial Exchanges & Data,27.691076841351514,18.57587590313592,26.57961867338624,10.13076237753014
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,27.634580460243612,22.099195955161285,27.235692317777865,11.847157686438141
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,27.577632965099685,22.372277846455784,27.260555746410486,12.140324344368375
STT,State Street Corporation,Financials,Asset Management & Custody Banks,27.134785769365877,28.20955832343773,28.404058946433715,25.68234880317965
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,27.108152436831745,33.65894410533468,29.978564847048595,21.28081710958658
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",26.976545125424785,42.857964871057725,33.15836957022773,33.702907692392344
ATO,Atmos Energy,Utilities,Gas Utilities,26.871472362384484,17.477232503647556,25.72049803714525,9.918770215629626
NVDA,Nvidia,Information Technology,Semiconductors,26.366139153948392,49.86400549197984,36.232850005498925,36.88102669914986
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,26.04576741933327,34.97071096822893,29.486912303032902,17.021730919426066
WFC,Wells Fargo,Financials,Diversified Banks,25.972192015902916,29.518130761912897,27.84034681009838,24.73462658003794
UBER,Uber,Industrials,Passenger Ground Transportation,25.967463703516692,39.00701494519829,31.025108552481512,20.70192116753988
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,25.86442691357317,33.195096856996884,28.938344220313127,30.544547915500157
XEL,Xcel Energy,Utilities,Multi-Utilities,25.70250370503382,20.212239061756907,25.290459599985176,12.376536723757486
NI,NiSource,Utilities,Multi-Utilities,25.685781735140985,20.457360665019454,25.340357474299612,9.992723595982625
PM,Philip Morris International,Consumer Staples,Tobacco,25.627199533494295,26.12930037409719,26.589848681067487,20.63635327034849
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,25.601512564158867,38.39748731901797,30.446929558714146,29.095993839385347
MMM,3M,Industrials,Industrial Conglomerates,25.58298969192733,29.673522456530605,27.52841775595563,18.714543357018844
CSCO,Cisco,Information Technology,Communications Equipment,25.46827317246042,22.808129881359395,25.649936594931415,17.457816881826876
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,25.355097430727607,29.06376596043637,27.160174665031615,25.21365806794472
AXON,Axon Enterprise,Industrials,Aerospace & Defense,25.256536458333333,61.919528989336925,41.50426799502018,32.587800452586734
EW,Edwards Lifesciences,Health Care,Health Care Equipment,25.212647367603807,24.647363464315784,25.84466365905776,11.97007803431395
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,24.66205006520984,61.453717544464745,41.15113297027387,41.0011612450084
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,24.590334101666606,17.990822492002405,23.95811307863009,11.04476442546945
